Sample Number: 0
x[15] = 0.54343 | u[15] = 0.12318
x[16] = 0.11161 | u[16] = -0.30759
x[17] = 0.54538 | u[17] = 0.08843
x[18] = 0.29103 | u[18] = -0.16332
x[19] = 0.42549 | u[19] = 0.02515
Sample Number: 100
x[0] = 0.52953 | u[0] = 0.10081
x[1] = 0.64825 | u[1] = 0.18389
x[2] = 0.32640 | u[2] = -0.12075
x[3] = 0.49854 | u[3] = 0.04942
x[4] = 0.78213 | u[4] = 0.33740
x[5] = 0.83831 | u[5] = 0.32798
x[6] = 0.17831 | u[6] = -0.22183
x[7] = 0.24449 | u[7] = -0.18323
x[8] = 0.15511 | u[8] = -0.31131
x[9] = 0.43332 | u[9] = 0.02161
x[10] = 0.10308 | u[10] = -0.29735
x[11] = 0.43984 | u[11] = 0.03045
x[12] = 0.62479 | u[12] = 0.15691
x[13] = 0.32577 | u[13] = -0.16984
x[14] = 0.63090 | u[14] = 0.16846
x[15] = 0.54038 | u[15] = 0.12042
x[16] = 0.11922 | u[16] = -0.29975
x[17] = 0.54318 | u[17] = 0.08654
x[18] = 0.29507 | u[18] = -0.15923
x[19] = 0.42489 | u[19] = 0.02252
Sample Number: 110
x[0] = 0.52704 | u[0] = 0.09822
x[1] = 0.64371 | u[1] = 0.17900
x[2] = 0.32938 | u[2] = -0.11752
x[3] = 0.49734 | u[3] = 0.04671
x[4] = 0.77380 | u[4] = 0.32773
x[5] = 0.83015 | u[5] = 0.32279
x[6] = 0.18381 | u[6] = -0.21711
x[7] = 0.24903 | u[7] = -0.17905
x[8] = 0.16281 | u[8] = -0.30330
x[9] = 0.43281 | u[9] = 0.01953
x[10] = 0.11045 | u[10] = -0.29112
x[11] = 0.43909 | u[11] = 0.02950
x[12] = 0.62090 | u[12] = 0.15359
x[13] = 0.32995 | u[13] = -0.16381
x[14] = 0.62671 | u[14] = 0.16558
x[15] = 0.53739 | u[15] = 0.11772
x[16] = 0.12664 | u[16] = -0.29211
x[17] = 0.54104 | u[17] = 0.08469
x[18] = 0.29901 | u[18] = -0.15524
x[19] = 0.42436 | u[19] = 0.01999
Sample Number: 120
x[0] = 0.52461 | u[0] = 0.09569
x[1] = 0.63928 | u[1] = 0.17423
x[2] = 0.33229 | u[2] = -0.11438
x[3] = 0.49620 | u[3] = 0.04410
x[4] = 0.76571 | u[4] = 0.31833
x[5] = 0.82212 | u[5] = 0.31765
x[6] = 0.18920 | u[6] = -0.21250
x[7] = 0.25346 | u[7] = -0.17496
x[8] = 0.17031 | u[8] = -0.29548
x[9] = 0.43235 | u[9] = 0.01754
x[10] = 0.11768 | u[10] = -0.28502
x[11] = 0.43836 | u[11] = 0.02857
x[12] = 0.61709 | u[12] = 0.15034
x[13] = 0.33398 | u[13] = -0.15798
x[14] = 0.62259 | u[14] = 0.16275
x[15] = 0.53447 | u[15] = 0.11509
x[16] = 0.13387 | u[16] = -0.28465
x[17] = 0.53894 | u[17] = 0.08289
x[18] = 0.30285 | u[18] = -0.15136
x[19] = 0.42390 | u[19] = 0.01757
Sample Number: 130
x[0] = 0.52224 | u[0] = 0.09322
x[1] = 0.63497 | u[1] = 0.16959
x[2] = 0.33512 | u[2] = -0.11132
x[3] = 0.49513 | u[3] = 0.04159
x[4] = 0.75785 | u[4] = 0.30918
x[5] = 0.81422 | u[5] = 0.31258
x[6] = 0.19446 | u[6] = -0.20797
x[7] = 0.25780 | u[7] = -0.17097
x[8] = 0.17762 | u[8] = -0.28785
x[9] = 0.43194 | u[9] = 0.01564
x[10] = 0.12474 | u[10] = -0.27906
